/net21 X,/net21 Y,/net13 X,/net13 Y
0,1.07520463137396,0,0
0.024,1.075886503622494,0.024,0.024
0.048,1.076941498518242,0.048,0.048
0.07200000000000001,1.077991913755759,0.07200000000000001,0.07200000000000001
0.096,1.079037445085937,0.096,0.096
0.12,1.080078005875005,0.12,0.12
0.144,1.081113627620414,0.144,0.144
0.168,1.082144414985288,0.168,0.168
0.192,1.083170526599933,0.192,0.192
0.216,1.084192169642361,0.216,0.216
0.24,1.085209603328031,0.24,0.24
0.264,1.08622314986209,0.264,0.264
0.288,1.087233213459561,0.288,0.288
0.312,1.088240309824227,0.312,0.312
0.336,1.089245110547495,0.336,0.336
0.36,1.090248510044888,0.36,0.36
0.3840000000000001,1.091251727783469,0.3840000000000001,0.3840000000000001
0.4080000000000001,1.092256467363761,0.4080000000000001,0.4080000000000001
0.4320000000000001,1.093265169728407,0.4320000000000001,0.4320000000000001
0.4560000000000001,1.094281426508032,0.4560000000000001,0.4560000000000001
0.4800000000000001,1.095310673527321,0.4800000000000001,0.4800000000000001
0.5040000000000001,1.096361388349734,0.5040000000000001,0.5040000000000001
0.5280000000000001,1.097447218189768,0.5280000000000001,0.5280000000000001
0.5520000000000002,1.098590858400904,0.5520000000000002,0.5520000000000002
0.5760000000000002,1.099831234055298,0.5760000000000002,0.5760000000000002
0.6000000000000002,1.101236693984495,0.6000000000000002,0.6000000000000002
0.6240000000000002,1.102927764394133,0.6240000000000002,0.6240000000000002
0.6480000000000002,1.105109097154007,0.6480000000000002,0.6480000000000002
0.6720000000000003,1.108089273391524,0.6720000000000003,0.6720000000000003
0.6960000000000003,1.112226545655098,0.6960000000000003,0.6960000000000003
0.7200000000000003,1.117757796338297,0.7200000000000003,0.7200000000000003
0.7440000000000003,1.124632693722392,0.7440000000000003,0.7440000000000003
0.7680000000000003,1.132532760171395,0.7680000000000003,0.7680000000000003
0.7920000000000004,1.141027660635846,0.7920000000000004,0.7920000000000004
0.8160000000000004,1.149705595382471,0.8160000000000004,0.8160000000000004
0.8400000000000004,1.158222205583634,0.8400000000000004,0.8400000000000004
0.8640000000000004,1.166299053338499,0.8640000000000004,0.8640000000000004
0.8880000000000005,1.173708404849614,0.8880000000000005,0.8880000000000005
0.9120000000000005,1.180263415559528,0.9120000000000005,0.9120000000000005
0.9360000000000005,1.18582117559062,0.9360000000000005,0.9360000000000005
0.9600000000000005,1.190299328486776,0.9600000000000005,0.9600000000000005
0.9840000000000005,1.193698502742172,0.9840000000000005,0.9840000000000005
1.008,1.196113312987386,1.008,1.008
1.032,1.197715640231732,1.032,1.032
1.056,1.198712168175444,1.056,1.056
1.080000000000001,1.199297785211837,1.080000000000001,1.080000000000001
1.104000000000001,1.199626365881584,1.104000000000001,1.104000000000001
1.128000000000001,1.199804107871326,1.128000000000001,1.128000000000001
1.152000000000001,1.199897138641124,1.152000000000001,1.152000000000001
1.176000000000001,1.199943522037166,1.176000000000001,1.176000000000001
1.2,1.199965403246877,1.2,1.2
