/net13 X,/net13 Y,/net21 X,/net21 Y
-0.01,0.6,-0.01,0.01128156521792559
-0.009600000000000001,0.6,-0.009600000000000001,0.01182148176876181
-0.009200000000000002,0.6,-0.009200000000000002,0.01243165505986682
-0.008800000000000002,0.6,-0.008800000000000002,0.01311073406284786
-0.008400000000000003,0.6,-0.008400000000000003,0.01387026556935011
-0.008000000000000004,0.6,-0.008000000000000004,0.01472439578026953
-0.007600000000000003,0.6,-0.007600000000000003,0.01569063246048046
-0.007200000000000003,0.6,-0.007200000000000003,0.01679089779379805
-0.006800000000000003,0.6,-0.006800000000000003,0.0180530165806864
-0.006400000000000003,0.6,-0.006400000000000003,0.01951287857114716
-0.006000000000000003,0.6,-0.006000000000000003,0.02121768693019948
-0.005600000000000003,0.6,-0.005600000000000003,0.02323104264470664
-0.005200000000000002,0.6,-0.005200000000000002,0.02564132076127007
-0.004800000000000002,0.6,-0.004800000000000002,0.02857640135894611
-0.004400000000000002,0.6,-0.004400000000000002,0.03223189166005799
-0.004000000000000002,0.6,-0.004000000000000002,0.03693187002618786
-0.003600000000000002,0.6,-0.003600000000000002,0.0432834130289565
-0.003200000000000001,0.6,-0.003200000000000001,0.05268679490055501
-0.002800000000000001,0.6,-0.002800000000000001,0.07052195824399436
-0.002400000000000001,0.6,-0.002400000000000001,0.1415936088958632
-0.002000000000000001,0.6,-0.002000000000000001,0.3029520074601359
-0.001600000000000001,0.6,-0.001600000000000001,0.4911701421853229
-0.001200000000000001,0.6,-0.001200000000000001,0.6898997382587823
-0.000800000000000001,0.6,-0.000800000000000001,0.8919618811472975
-0.000400000000000001,0.6,-0.000400000000000001,1.050816543064435
0,0.6,0,1.101237924994002
0.0004,0.6,0.0004,1.125640814788828
0.0008,0.6,0.0008,1.141881626536888
0.0012,0.6,0.0012,1.153713639919341
0.0016,0.6,0.0016,1.162805499842842
0.002,0.6,0.002,1.169951307749993
0.0024,0.6,0.0024,1.175644995440881
0.0028,0.6,0.0028,1.180220011658383
0.003200000000000001,0.6,0.003200000000000001,1.183915372385869
0.003600000000000001,0.6,0.003600000000000001,1.186909706014381
0.004000000000000001,0.6,0.004000000000000001,1.189340449747235
0.004400000000000001,0.6,0.004400000000000001,1.19131551404942
0.004800000000000001,0.6,0.004800000000000001,1.192920826787434
0.005200000000000001,0.6,0.005200000000000001,1.194225474681148
0.005600000000000002,0.6,0.005600000000000002,1.195285364126424
0.006000000000000002,0.6,0.006000000000000002,1.196145923973512
0.006400000000000002,0.6,0.006400000000000002,1.196844160728282
0.006800000000000002,0.6,0.006800000000000002,1.197410258588083
0.007200000000000002,0.6,0.007200000000000002,1.197868848328872
0.007600000000000003,0.6,0.007600000000000003,1.198240027995298
0.008000000000000002,0.6,0.008000000000000002,1.19854019281018
0.008400000000000001,0.6,0.008400000000000001,1.198782715170269
0.008800000000000001,0.6,0.008800000000000001,1.198978504255516
0.0092,0.6,0.0092,1.199136466495484
0.009599999999999999,0.6,0.009599999999999999,1.199263881943584
0.01,0.6,0.01,1.199366707535271
