I0.M5:d X,I0.M5:d Y
10000,-0.000451061780879821
10617.45917854979,-0.0004416944150892876
11273.04394081711,-0.0004323076552887174
11969.10838596237,-0.0004229068911205126
12708.15196915934,-0.0004134974148968081
13492.82847673563,-0.0004041252419180812
14325.95555549147,-0.0003947170999069536
15210.52483041492,-0.0003853156033832144
16149.71264712483,-0.0003759257343661113
17146.89147761571,-0.0003665524583243841
18205.64203026081,-0.0003572007635705196
19329.76610755844,-0.0003478757103443742
20523.30025779169,-0.0003385824901561965
21790.53026962236,-0.00032932649589781
23136.00656166688,-0.0003201134026679079
24564.56052231581,-0.0003109492583262565
26081.32185847038,-0.0003018405813771884
27691.73701549274,-0.0002927944617915905
29401.58873451303,-0.0002838186577901714
31217.01681732014,-0.0002749216785684791
33144.54017339987,-0.0002661128398431939
35191.08022828766,-0.0002574022766784476
37363.98577729148,-0.0002488008973856846
39671.05937383071,-0.0002403202646109702
42120.58534714724,-0.0002319723959811075
44721.3595499958,-0.0002237694869404274
47482.72094313281,-0.0002157235713028849
50414.58513001836,-0.0002078461477011246
53527.4799621493,-0.0002001478088802306
56832.58334287618,-0.0001926379126320719
60341.76336545164,-0.0001853243270990131
64067.62092943938,-0.0001782132708195244
68023.53498851245,-0.0001713092528204483
72223.7105921184,-0.0001646151042702481
76683.22989352109,-0.000158132083584207
81418.10630738088,-0.0001518600324677096
86445.34201134433,-0.0001457975605967163
91782.98899812232,-0.0001399422399431665
97450.21389728479,-0.0001342907944893141
103467.3667995366,-0.000128839275924332
109856.0543306118,-0.0001235832200895937
116639.2172371818,-0.0001185177821134405
123841.2127633778,-0.0001136378503456474
131487.9021137263,-0.0001089381405237261
139606.7433165639,-0.0001044132722885496
148226.8898213895,-0.0001000578304166643
157379.2951842,-9.586641311408891e-05
167096.8242167181,-9.183366954129843e-05
177414.3709986313,-8.79543284916346e-05
188368.9841766055,-8.422321987746733e-05
200000,-8.063529041835995e-05
