net1 X,net1 Y
-0.001,0.002427603202685175
-0.00096,0.002599195887786765
-0.00092,0.002788652759034426
-0.00088,0.003000596723950909
-0.00084,0.003238649421819692
-0.0008,0.003507183561359295
-0.00076,0.003811520324791901
-0.00072,0.004158191564883492
-0.00068,0.004555292707873563
-0.0006400000000000001,0.005012964515316428
-0.0006000000000000001,0.005544060706592554
-0.0005600000000000001,0.006165087800293872
-0.0005200000000000001,0.006897549669270768
-0.0004800000000000001,0.00776990209754938
-0.0004400000000000001,0.008820437099169546
-0.0004000000000000001,0.01010159423542943
-0.0003600000000000001,0.01168646453222344
-0.0003200000000000001,0.013678651463017
-0.0002800000000000001,0.01622729522947042
-0.0002400000000000001,0.0195505119822749
-0.0002000000000000001,0.02397543575426159
-0.0001600000000000001,0.03002276583271106
-0.0001200000000000001,0.03864797240959009
-8.00000000000001e-05,0.05237476556820247
-4.00000000000001e-05,0.08544470351694504
0,0.2326394849570578
4e-05,0.4385077288131869
8.000000000000001e-05,0.6537159614796308
0.00012,0.8651477817343236
0.00016,1.028416906284725
0.0002,1.076527639763658
0.00024,1.097351525835137
0.00028,1.110054810490351
0.00032,1.119350956189251
0.00036,1.126524481614163
0.0004,1.132283241502378
0.00044,1.137035482603066
0.00048,1.141038006453313
0.0005200000000000001,1.144462956850122
0.0005600000000000001,1.147431324327783
0.0006000000000000001,1.150031291098349
0.0006400000000000001,1.152328997201765
0.00068,1.154375216744234
0.00072,1.156209685921345
0.00076,1.157864012708695
0.0008,1.159363693136115
0.00084,1.160729544613101
0.00088,1.161978747311649
0.00092,1.163125615195459
0.00096,1.164182176360905
0.001,1.165158616238324
